User ID,Rank 1,Rank 2,Rank 3,Rank 4,Rank 5,Rank 6,Rank 7,Rank 8,Rank 9,Rank 10
9130,2,7,5,8,0,9,4,3,1,6
4849,8,2,7,1,3,0,9,5,6,4
3601,7,2,5,8,6,0,3,9,4,1
1422,4,2,7,8,3,0,9,6,5,1
6767,5,0,3,7,2,1,8,6,9,4
8007,4,5,7,0,3,1,2,6,8,9
3885,0,2,1,6,7,8,5,3,9,4
9961,7,2,4,0,5,1,8,6,9,3
4899,7,2,3,4,8,6,1,0,9,5
4455,7,8,2,3,0,9,1,6,5,4
5831,6,0,1,5,8,3,2,4,9,7
4433,4,5,7,2,0,3,1,8,6,9
7177,7,0,3,5,8,1,4,2,6,9
5191,0,4,7,5,2,6,1,9,8,3
6701,7,4,2,0,5,1,6,8,9,3
1750,7,2,3,1,0,6,5,8,9,4
9743,5,4,8,7,9,6,1,2,0,3
4189,4,7,2,3,1,5,8,0,6,9
6539,4,7,1,0,3,6,8,9,2,5
8565,7,0,4,5,3,8,1,2,6,9
3149,7,2,0,3,8,4,5,1,6,9
8444,7,2,8,9,3,5,0,6,1,4
8685,5,4,0,1,3,6,9,7,2,8
9622,2,9,6,0,8,7,4,3,5,1
9627,5,7,2,6,3,0,1,8,4,9
5295,1,7,8,5,4,2,6,9,0,3
9843,8,7,2,6,3,0,1,9,5,4
1560,4,7,3,5,8,2,1,0,9,6
9949,0,7,2,1,3,8,9,6,4,5
9872,6,0,5,2,8,3,4,1,7,9
1902,2,8,3,9,7,0,6,1,5,4
6021,0,4,2,1,7,5,8,3,6,9
4799,4,7,2,0,3,8,1,6,9,5
9611,0,1,3,7,4,5,9,8,2,6
1208,7,5,8,6,4,1,2,0,3,9
3851,0,4,7,5,6,1,8,2,3,9
8428,4,5,1,0,6,3,8,2,9,7
1608,1,0,7,2,9,3,8,6,5,4
8475,7,8,1,2,3,5,4,0,9,6
1411,4,7,8,3,0,1,5,6,2,9
1170,3,8,2,7,1,6,9,5,4,0
4055,5,7,1,0,9,2,8,3,4,6
4019,7,5,8,4,2,0,3,9,6,1
9940,1,0,2,5,7,4,3,9,8,6
5253,3,0,2,7,4,1,5,8,9,6
9967,1,0,7,5,3,2,8,9,6,4
8270,3,7,2,5,6,8,0,1,9,4
10085,7,1,2,0,8,5,6,4,9,3
5211,7,0,4,1,5,2,6,8,3,9
5019,7,2,4,0,3,8,6,5,1,9
1072,1,0,3,5,2,7,8,9,6,4
9065,6,1,0,4,3,8,7,9,2,5
1703,7,2,8,6,5,9,3,4,0,1
8759,4,7,2,9,1,5,8,0,6,3
8505,1,7,5,8,0,3,2,4,9,6
3073,7,2,1,8,3,6,9,0,4,5
8038,0,7,3,6,2,1,8,9,4,5
8987,7,4,5,0,1,2,9,8,3,6
3755,2,5,7,4,3,0,1,6,8,9
8062,3,7,0,2,1,6,8,9,5,4
6799,2,7,4,5,0,1,3,8,6,9
5897,5,2,7,0,1,9,3,6,8,4
1215,2,0,1,3,5,7,8,6,9,4
8126,3,0,2,7,5,8,6,9,4,1
4267,5,2,8,3,7,1,0,6,9,4
1005,7,8,9,2,0,5,3,4,6,1
8633,5,7,1,2,0,3,8,6,9,4
9487,2,3,7,8,6,0,1,9,5,4
9369,7,6,5,0,4,2,8,1,3,9
5805,4,1,7,0,2,8,5,3,6,9
1141,0,1,8,6,9,2,3,7,4,5
6865,7,3,8,1,0,2,9,6,5,4
3819,4,1,0,2,7,9,5,6,8,3
8824,5,6,3,7,2,8,0,1,9,4
3731,3,8,2,0,6,9,7,1,4,5
1967,5,4,7,2,8,0,9,6,3,1
9027,0,4,6,3,8,2,7,5,1,9
6351,1,7,0,3,2,6,8,4,5,9
5577,7,1,4,8,6,2,5,0,3,9
4497,7,2,4,0,1,5,8,6,3,9
6121,4,5,7,8,0,3,1,2,9,6
4695,0,2,5,4,3,8,7,9,6,1
9697,1,3,6,5,0,7,2,4,9,8
5865,7,3,2,8,6,0,1,9,5,4
1872,5,2,7,6,1,3,8,4,0,9
1564,5,0,6,7,3,4,2,1,8,9
6255,4,0,5,2,7,3,9,8,1,6
8832,7,5,2,1,8,0,3,9,6,4
9653,5,4,3,7,6,2,0,1,9,8
1917,5,1,0,3,6,7,8,9,2,4
6801,4,7,2,3,6,5,8,9,0,1
4605,1,8,2,6,0,7,5,9,4,3
1330,2,4,7,8,3,6,5,0,9,1
1032,0,1,2,7,8,9,6,3,5,4
8606,4,7,8,2,0,9,3,1,6,5
8560,0,1,6,3,8,7,4,2,5,9
9577,4,5,7,2,0,1,3,8,6,9
1683,7,4,5,8,2,6,3,0,1,9
4003,7,3,0,2,8,1,4,5,9,6
8618,5,9,4,7,1,2,8,0,6,3